id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-09-20T23:20:15;RAM Focused;PAID;CASH_ON_DELIVERY;2020-09-21T07:42:22;64379;Australia 1080p Intranet;1
2;2020-09-20T20:34:31;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-09-21T00:30:12;8068;Baby;2
3;2020-09-21T06:16:19;monitor;CANCELLED;CREDIT_CARD;2020-09-20T22:07:41;97394;Rubber synergy program;3
4;2020-09-20T18:50:21;EXE parse strategic;CANCELLED;PAYPAL;2020-09-20T22:55:31;2286;HTTP;4
5;2020-09-20T15:05:32;black Awesome;PAID;CASH_ON_DELIVERY;2020-09-20T15:07:26;49531;Agent SDD auxiliary;5
6;2020-09-21T01:38:06;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-09-20T17:30:16;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-09-21T04:11:42;back up Toys;ISSUED;PAYPAL;2020-09-21T07:07:21;10756;Arizona Awesome Fresh Soap system;7
8;2020-09-21T00:43:52;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-09-21T00:32:55;50263;deploy;8
9;2020-09-20T18:33:50;Credit Card Account;CANCELLED;CREDIT_CARD;2020-09-21T04:56:59;308;payment Fantastic Fresh Soap;9
10;2020-09-21T04:58:13;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-09-21T08:44:02;94911;Granite Rubber Pizza;10
